"","Scientific.Name","Latitude","Longitude","Country"
"156","Adelges tsugae",40.030069,-75.56995,"US"
"157","Adelges tsugae",40.030042,-75.569966,"US"
"158","Adelges tsugae",40.030039,-75.569962,"US"
"159","Adelges tsugae",40.030084,-75.569959,"US"
"160","Adelges tsugae",40.030067,-75.569941,"US"
"161","Adelges tsugae",40.032754,-75.515541,"US"
"162","Adelges tsugae",40.030044,-75.569956,"US"
"163","Adelges tsugae",41.766768,-74.155195,"US"
"164","Adelges tsugae",42.321592,-76.387157,"US"
"165","Adelges tsugae",36.549376,-84.800063,"US"
"166","Adelges tsugae",42.319124,-76.384254,"US"
"167","Adelges tsugae",42.45457,-71.124344,"US"
"168","Adelges tsugae",42.444692,-71.089561,"US"
"169","Adelges tsugae",43.262905,-70.861465,"US"
"170","Adelges tsugae",36.878947,-82.614367,"US"
"171","Adelges tsugae",42.04799,-73.464076,"US"
"172","Adelges tsugae",42.2562,-73.442312,"US"
"173","Adelges tsugae",42.676984,-72.334702,"US"
"174","Adelges tsugae",42.461455,-71.083405,"US"
"175","Adelges tsugae",40.408904,-79.001092,"US"
"176","Adelges tsugae",37.817221,-83.659202,"US"
"177","Adelges tsugae",37.77601,-83.68607,"US"
"178","Adelges tsugae",42.45042,-71.080933,"US"
"179","Adelges tsugae",34.80559,-83.12871,"US"
"180","Adelges tsugae",42.38053,-72.472528,"US"
"181","Adelges tsugae",41.784152,-74.150378,"US"
"182","Adelges tsugae",41.784161,-74.150381,"US"
"183","Adelges tsugae",41.775124,-74.161227,"US"
"184","Adelges tsugae",42.442525,-71.081908,"US"
"185","Adelges tsugae",42.319055,-72.665133,"US"
"186","Adelges tsugae",42.435857,-72.686824,"US"
"187","Adelges tsugae",35.438003,-85.119358,"US"
"188","Adelges tsugae",41.086385,-80.6825,"US"
"189","Adelges tsugae",39.624224,-78.771875,"US"
"190","Adelges tsugae",42.45578,-71.086128,"US"
"191","Adelges tsugae",40.490796,-80.163865,"US"
"192","Adelges tsugae",35.519995,-82.971879,"US"
"193","Adelges tsugae",42.311113,-71.0941,"US"
"194","Adelges tsugae",42.643645,-72.245972,"US"
"195","Adelges tsugae",42.245153,-71.472428,"US"
"196","Adelges tsugae",42.245053,-71.472192,"US"
"197","Adelges tsugae",36.394649,-80.266358,"US"
"198","Adelges tsugae",35.609578,-83.746498,"US"
"199","Adelges tsugae",42.444828,-71.089342,"US"
"200","Adelges tsugae",42.281355,-71.458213,"US"
"201","Adelges tsugae",41.531431,-73.43812,"US"
"202","Adelges tsugae",42.110378,-72.249528,"US"
"203","Adelges tsugae",35.758227,-83.966753,"US"
"204","Adelges tsugae",42.451912,-76.473617,"US"
"205","Adelges tsugae",42.444462,-71.094269,"US"
"206","Adelges tsugae",42.16127,-73.436408,"US"
"207","Adelges tsugae",42.366154,-71.265622,"US"
"208","Adelges tsugae",35.602293,-81.629566,"US"
"209","Adelges tsugae",41.109398,-74.869625,"US"
"210","Adelges tsugae",42.892278,-72.470039,"US"
"211","Adelges tsugae",42.892278,-72.470039,"US"
"212","Adelges tsugae",42.892278,-72.470039,"US"
"213","Adelges tsugae",42.892278,-72.470039,"US"
"214","Adelges tsugae",42.892278,-72.470039,"US"
"215","Adelges tsugae",42.892278,-72.470039,"US"
"216","Adelges tsugae",42.892278,-72.470039,"US"
"217","Adelges tsugae",42.892278,-72.470039,"US"
"218","Adelges tsugae",42.892278,-72.470039,"US"
"219","Adelges tsugae",42.892278,-72.470039,"US"
"220","Adelges tsugae",42.892278,-72.470039,"US"
"221","Adelges tsugae",42.892278,-72.470039,"US"
"222","Adelges tsugae",42.892278,-72.470039,"US"
"223","Adelges tsugae",42.892278,-72.470039,"US"
"224","Adelges tsugae",42.892278,-72.470039,"US"
"225","Adelges tsugae",42.892278,-72.470039,"US"
"226","Adelges tsugae",42.892278,-72.470039,"US"
"227","Adelges tsugae",42.892278,-72.470039,"US"
"228","Adelges tsugae",42.892278,-72.470039,"US"
"229","Adelges tsugae",42.892278,-72.470039,"US"
"230","Adelges tsugae",42.892278,-72.470039,"US"
"231","Adelges tsugae",42.892278,-72.470039,"US"
"232","Adelges tsugae",42.892278,-72.470039,"US"
"233","Adelges tsugae",42.892278,-72.470039,"US"
"234","Adelges tsugae",42.892278,-72.470039,"US"
"235","Adelges tsugae",42.892278,-72.470039,"US"
"236","Adelges tsugae",42.892278,-72.470039,"US"
"237","Adelges tsugae",42.892278,-72.470039,"US"
"238","Adelges tsugae",42.892278,-72.470039,"US"
"239","Adelges tsugae",42.892278,-72.470039,"US"
"240","Adelges tsugae",42.892278,-72.470039,"US"
"241","Adelges tsugae",42.892278,-72.470039,"US"
"242","Adelges tsugae",34.927587,-82.372023,"US"
"243","Adelges tsugae",37.85223,-83.681488,"US"
"244","Adelges tsugae",40.500083,-74.428624,"US"
"245","Adelges tsugae",41.570906,-71.778189,"US"
"246","Adelges tsugae",39.441667,-77.574931,"US"
"247","Adelges tsugae",34.667733,-83.365425,"US"
"248","Adelges tsugae",38.959259,-76.747964,"US"
"249","Adelges tsugae",42.466382,-76.535421,"US"
"250","Adelges tsugae",41.38685,-75.625913,"US"
"251","Adelges tsugae",42.465589,-71.081221,"US"
"252","Adelges tsugae",34.734067,-83.715239,"US"
"253","Adelges tsugae",42.64084,-70.999617,"US"
"254","Adelges tsugae",42.455617,-71.087442,"US"
"255","Adelges tsugae",42.678389,-78.502377,"US"
"256","Adelges tsugae",42.438702,-71.340128,"US"
"257","Adelges tsugae",34.739067,-83.391953,"US"
"258","Adelges tsugae",42.468973,-72.594447,"US"
"259","Adelges tsugae",35.6914,-83.535161,"US"
"260","Adelges tsugae",39.282764,-79.226109,"US"
"261","Adelges tsugae",39.388699,-79.257691,"US"
"262","Adelges tsugae",39.639675,-79.41282,"US"
"263","Adelges tsugae",39.775069,-79.527845,"US"
